vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code_id,store_and_fwd_flag,pu_location_id,do_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,congestion_surcharge,total_amount,trip_duration_min,avg_speed_mph,fare_per_mile,tip_pct,is_cross_borough,pickup_hour,pickup_day_of_week,time_of_day
2,2019-01-03 20:08:28,2019-01-03 20:14:52,1,1.0,1,N,90,170,2,6.5,0.5,0.5,0.0,0.0,0.3,0.0,7.8,6.4,9.375,6.5,,False,20,3,evening
1,2019-01-03 21:41:04,2019-01-03 21:50:34,2,1.8,1,N,100,141,1,9.0,0.5,0.5,2.06,0.0,0.3,0.0,12.36,9.5,11.36842105263158,5.0,0.2288888888888889,False,21,3,evening
1,2019-01-03 22:07:39,2019-01-03 22:36:56,1,8.3,1,N,113,160,2,28.0,0.5,0.5,0.0,5.76,0.3,0.0,35.06,29.283333333333335,17.006260671599318,3.373493975903614,,True,22,3,night
2,2019-01-03 22:21:18,2019-01-03 22:41:11,1,5.08,1,N,125,239,2,18.5,0.5,0.5,0.0,0.0,0.3,0.0,19.8,19.883333333333333,15.329421626152556,3.6417322834645667,,False,22,3,night
2,2019-01-03 22:27:18,2019-01-03 22:42:43,1,5.05,1,N,137,7,1,16.0,0.5,0.5,3.46,0.0,0.3,0.0,20.76,15.416666666666666,19.654054054054054,3.1683168316831685,0.21625,True,22,3,night
1,2019-01-03 22:44:55,2019-01-03 22:53:15,1,1.5,1,N,230,170,2,7.5,0.5,0.5,0.0,0.0,0.3,0.0,8.8,8.333333333333334,10.799999999999999,5.0,,False,22,3,night
2,2019-01-04 00:01:52,2019-01-04 00:20:44,1,2.18,1,N,158,148,2,13.0,0.5,0.5,0.0,0.0,0.3,0.0,14.3,18.866666666666667,6.93286219081272,5.963302752293577,,False,0,4,night
2,2019-01-04 05:27:00,2019-01-04 05:35:31,6,2.89,1,N,263,100,2,10.5,0.5,0.5,0.0,0.0,0.3,0.0,11.8,8.516666666666667,20.360078277886497,3.6332179930795845,,False,5,4,night
1,2019-01-04 06:57:14,2019-01-04 07:26:20,1,19.2,2,N,140,132,1,52.0,0.0,0.5,14.6,5.76,0.3,0.0,73.16,29.1,39.587628865979376,2.7083333333333335,0.28076923076923077,True,6,4,morning
1,2019-01-04 08:17:38,2019-01-04 08:32:27,1,3.7,1,N,50,231,1,14.5,0.0,0.5,1.0,0.0,0.3,0.0,16.3,14.816666666666666,14.983127109111361,3.918918918918919,0.06896551724137931,False,8,4,morning
1,2019-01-04 09:59:33,2019-01-04 10:02:05,1,0.6,1,N,43,43,2,4.0,0.0,0.5,0.0,0.0,0.3,0.0,4.8,2.533333333333333,14.210526315789473,6.666666666666667,,False,9,4,morning
2,2019-01-04 10:00:33,2019-01-04 10:34:36,1,16.25,2,N,229,132,1,52.0,0.0,0.5,10.56,0.0,0.3,0.0,63.36,34.05,28.634361233480178,3.2,0.2030769230769231,True,10,4,morning
2,2019-01-04 10:38:30,2019-01-04 10:48:51,1,2.01,1,N,237,151,1,9.5,0.0,0.5,2.06,0.0,0.3,0.0,12.36,10.35,11.652173913043478,4.726368159203981,0.2168421052631579,False,10,4,morning
1,2019-01-04 11:07:19,2019-01-04 11:15:26,1,0.7,1,N,263,237,4,6.5,0.0,0.5,0.0,0.0,0.3,0.0,7.3,8.116666666666667,5.174537987679671,9.285714285714286,,False,11,4,morning
1,2019-01-04 11:55:41,2019-01-04 12:08:36,1,2.8,1,N,107,140,1,12.5,0.0,0.5,2.65,0.0,0.3,0.0,15.95,12.916666666666666,13.006451612903225,4.464285714285714,0.212,False,11,4,morning
2,2019-01-04 12:02:21,2019-01-04 12:05:45,1,0.61,1,N,230,163,1,4.5,0.0,0.5,1.32,0.0,0.3,0.0,6.62,3.4,10.764705882352942,7.377049180327869,0.29333333333333333,False,12,4,afternoon
